"","SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1"
"gene-SAOUHSC_01772",6.88264723301444,5.60417228903111,5.60523094167219,6.78248793153511,6.8172762130438,6.12466656380793,6.07674342806087,5.45714791158711,5.3684921079855,5.83630213605811,5.97804186850903,5.39881897691844
"gene-SAOUHSC_01773",3.85733588517177,3.79627112960395,3.79694590453581,3.58033186783366,3.68782368848842,2.78743812217524,2.06878226500577,2.95504881649884,2.69899025139293,3.49711999767242,3.47439555608005,2.84852519476694
"gene-SAOUHSC_01774",4.8150203827042,5.53509781317658,4.5514161372557,5.50193486724195,4.87201389845154,4.85992043303349,4.74504764525888,4.58458004389763,4.09786239467013,4.85622355667433,4.43125704895884,5.16340005371215
"gene-SAOUHSC_01775",4.15852236867752,4.22750356478632,3.50559044761364,5.09147088605957,5.29298419952736,4.17331614017258,4.25791646490471,4.58458004389763,4.85446602211287,4.91181090151854,5.12132504901719,4.22903870534115
"gene-SAOUHSC_01776",8.1405882307838,8.01557818538982,8.06626956548386,8.29416326616191,8.25887773595679,8.47513261283775,8.48454591633789,8.30132231608811,8.30649896825246,8.6665453152379,8.61764700316195,9.06704476213356
"gene-SAOUHSC_01777",3.79918106833316,5.21920394289106,5.30605999014834,2.06878226500577,3.68782368848842,4.17331614017258,4.17111377638507,3.56071837098988,3.30140824234547,2.06878226500577,2.06878226500577,4.35036382860916
"gene-SAOUHSC_01778",7.30636446738699,7.18891859318329,7.16760204619433,6.96846423966103,6.94875724525066,7.7230638465192,7.73410810380718,7.54829658911344,7.5549581088339,7.61990371652143,7.57208726912787,7.07094444906548
"gene-SAOUHSC_01779",4.6084719440923,4.22750356478632,4.22830156595527,5.68404550031013,5.64528948224041,4.62533465859935,4.6228253067882,3.66962908052249,3.66653160299657,3.9090853104463,3.76058546626491,5.51331847790949
"gene-SAOUHSC_01781",2.93758232796061,3.79627112960395,2.06878226500577,4.63375860829325,3.41213508582793,2.06878226500577,2.06878226500577,4.10159387690393,2.95321905342805,3.9090853104463,2.06878226500577,2.84852519476694
"gene-SAOUHSC_01783",2.06878226500577,2.06878226500577,2.06878226500577,3.71123585042146,3.41213508582793,3.61703834147931,3.28826805657536,2.70031371626588,2.06878226500577,3.31755094229429,2.06878226500577,3.15885988835518
"gene-SAOUHSC_01784",3.28019707271863,2.06878226500577,2.06878226500577,4.43949252616246,4.47603623103139,3.61703834147931,3.74867423971654,2.95504881649884,3.30140824234547,3.78707919943132,3.88111735833716,3.22175576042226
"gene-SAOUHSC_01785",3.53279913661444,2.06878226500577,2.06878226500577,3.25980471765215,3.24204606071223,2.06878226500577,2.78657514708873,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.62345659691108
"gene-SAOUHSC_01786",5.23709205023174,3.79627112960395,3.79694590453581,3.71123585042146,3.68782368848842,4.49095745921361,4.55734357676027,4.58458004389763,4.58026349986075,4.5385943701496,4.81906617136591,4.03758346577849
"gene-SAOUHSC_01787",4.75910992851577,6.10972954383175,6.11084387137016,4.74938262595251,5.13943308368989,5.56497623468068,5.52900245097224,5.31486839886058,5.42475723653608,6.0945258301542,6.05045050172887,4.74870290341229
"gene-SAOUHSC_01788",7.77440968862069,7.37704031852631,7.35850627681604,7.85919178945175,7.84606484572011,9.3751796634084,9.3624209862544,7.70341172380347,7.67470529784517,9.4866257660369,9.44175542336427,9.18612059929297
"gene-SAOUHSC_01789",3.73806913753051,4.92480571676756,3.50559044761364,2.76921409593024,2.75840365788272,4.80491748249942,4.07806561968433,4.72867413215485,4.36090653369051,3.49711999767242,4.27245638546164,4.09525881717033
"gene-SAOUHSC_01791",5.75646963144737,5.85114429806183,6.40882886419431,3.58033186783366,3.5584771984786,5.59725014458842,5.98273315868046,5.95460246594042,6.34653419418448,5.37192190987316,5.44373698501144,5.77721889617348
"gene-SAOUHSC_01792",6.28913695854758,6.97248044211539,6.89361747052784,6.87227447642536,6.69997782552413,6.03362211883947,6.05381351179204,6.74230772379631,6.7255601868733,6.65458686422473,6.59266668004061,6.61455387579884
"gene-SAOUHSC_01793",3.28019707271863,3.79627112960395,3.79694590453581,5.21578000326828,5.17942166679232,3.46577836844877,3.46418846672221,4.47925824505226,4.47505843123992,3.65121037615674,3.88111735833716,7.17184521073416
"gene-SAOUHSC_01794",7.82850630411815,8.80845829427716,8.7877430928664,9.37036365046827,9.34267742084299,7.29517084084123,7.24213216442259,8.09264228266645,8.08235567547015,8.44905483974275,8.39571691177828,7.86853249513466
"gene-SAOUHSC_01795",4.06588324600971,4.22750356478632,4.39963372514336,2.06878226500577,2.06878226500577,3.75053003696524,3.74867423971654,3.94647819802896,3.94296223792093,3.49711999767242,3.47439555608005,4.71372979021489
"gene-SAOUHSC_01796",4.78734878418838,4.03023732252689,2.06878226500577,2.76921409593024,2.06878226500577,4.55981236096477,3.28826805657536,3.30388844613831,3.14397761100006,4.60830391595949,4.35423272906157,5.28601875491433
"gene-SAOUHSC_01797",6.9695455973074,6.8647457213388,6.83767223852321,6.2618527624379,6.1228522070093,6.91759586286506,6.88867786115289,6.7750049530889,6.79069627977165,7.32099917826723,7.2936147634243,7.70229091795921
"gene-SAOUHSC_01798",3.17976787801847,4.81100509024062,4.68786989203721,4.12661895681421,4.18339466880845,2.78743812217524,3.07394312994191,2.70031371626588,2.69899025139293,3.65121037615674,3.47439555608005,5.15052868415478
"gene-SAOUHSC_01799",6.95136111015599,7.33730699932563,7.31821565372781,7.03661003482934,7.04805968230052,6.60701751589333,6.60377160186683,7.4025996921164,7.40369935281341,8.15947254858847,8.12220262793613,7.00188213483228
